T_K,T_C,vertex,fraction,CU,NI,CR,SI
1200.15,927.0000000000001,0,0.04064729022915907,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1200.15,927.0000000000001,1,0.9593527098856859,0.0012809311610830034,0.9803427931496093,0.010002851865566384,0.008373423823741555
1200.65,927.5000000000001,0,0.04060248227979203,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1200.65,927.5000000000001,1,0.9593975177221544,0.001290534263082669,0.9802970070780456,0.010028152495149179,0.008384306163722514
1201.15,928.0000000000001,0,0.04055747700714652,0.2068965517241379,0.0,0.5517241379310345,0.24137931034482757
1201.15,928.0000000000001,1,0.9594425221684734,0.0013001786060474734,0.9802510244148132,0.010053561751337637,0.008395235227801844
1201.65,928.5000000000001,0,0.040512276002137554,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1201.65,928.5000000000001,1,0.9594877234506738,0.001309864201696526,0.9802048449786501,0.010079079755037601,0.008406211064615761
1202.15,929.0000000000001,0,0.04046687885264848,0.2068965517241379,0.0,0.5517241379310345,0.24137931034482757
1202.15,929.0000000000001,1,0.9595331217127012,0.0013195911003498063,0.980158468684605,0.010104706527860307,0.008417233687184885
1202.65,929.5000000000001,0,0.0404212819526044,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1202.65,929.5000000000001,1,0.9595787171717374,0.0013293593176863304,0.9801118953563015,0.010130442184015166,0.008428303141997068
1203.15,930.0000000000001,0,0.040375490350872,0.2068965517241379,0.0,0.5517241379310345,0.24137931034482757
1203.15,930.0000000000001,1,0.9596245100027739,0.0013391688927468926,0.9800651248738446,0.010156286778788907,0.008439419454619844
1203.65,930.5000000000001,0,0.04032949971223009,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1203.65,930.5000000000001,1,0.9596705004279781,0.001349019847207449,0.9800181570714529,0.01018224041479078,0.0084505826665489
1204.15,931.0000000000001,0,0.040283311296539885,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1204.15,931.0000000000001,1,0.9597166886436402,0.001358912214492232,0.9799709918085378,0.01020830316509317,0.00846179281187686
1204.65,931.5000000000001,0,0.04023692443276033,0.2068965517241379,0.0,0.5517241379310345,0.24137931034482757
1204.65,931.5000000000001,1,0.9597630748318552,0.0013688460313668895,0.9799236289516341,0.010234475097978951,0.008473049919020075
1205.15,932.0000000000001,0,0.04019034047106671,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1205.15,932.0000000000001,1,0.9598096592240001,0.0013788213250363027,0.9798760683397723,0.010260756307288923,0.008484354027902504
1205.65,932.5000000000001,0,0.04014355752486984,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1205.65,932.5000000000001,1,0.9598564420057498,0.0013888381211248117,0.9798283098051421,0.010287146892258313,0.008495705181474966
1206.15,933.0000000000001,0,0.04009657693821246,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1206.15,933.0000000000001,1,0.9599034233904895,0.0013988964633575907,0.9797803532223365,0.010313646909937055,0.008507103404368893
1206.65,933.5000000000001,0,0.04004939694952722,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1206.65,933.5000000000001,1,0.959950603581074,0.0014089963824072994,0.9797321984300523,0.010340256451426286,0.008518548736114118
1207.15,934.0000000000001,0,0.04000201729413842,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1207.15,934.0000000000001,1,0.9599979828064513,0.0014191379033512445,0.9796838452505882,0.01036697562324694,0.008530041222813659
1207.65,934.5000000000001,0,0.039954438764839555,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1207.65,934.5000000000001,1,0.9600455612709121,0.0014293210651607957,0.979635293538306,0.0103938045009802,0.008541580895553133
1208.15,935.0000000000001,0,0.03990666004524482,0.20689655172413793,0.0,0.5517241379310345,0.24137931034482757
1208.15,935.0000000000001,1,0.9600933391963624,0.0014395459003906392,0.9795865431278511,0.010420743177070535,0.008553167794687892
